epoch,get_f1,loss,val_get_f1,val_loss
0,0.47443533,1.3205682740559057,0.6503710150718689,0.9170678765271575
1,0.7355717,0.7583253335058746,0.7751863598823547,0.6415391177457858
2,0.8023787,0.5756893994955526,0.7944581508636475,0.5717778199257713
3,0.83654493,0.4781162847016632,0.828154981136322,0.48575144441720286
4,0.8604975,0.40469009167940045,0.8383145928382874,0.48324457601764725
5,0.879699,0.34857626167816075,0.8662182092666626,0.4045494512843885
6,0.89743245,0.29335952197670684,0.8718128800392151,0.40179662222567586
7,0.9158415,0.24516429561962697,0.8685731887817383,0.4271866982631344
8,0.9300552,0.20385499851343758,0.8804724216461182,0.39374286694669897
9,0.94171065,0.1700537252329505,0.8953990340232849,0.39217114309428047
10,0.95223194,0.13847731439578834,0.8853232860565186,0.457471643655962
11,0.9618439,0.113827143615653,0.8989750146865845,0.42087880063745703
12,0.96729326,0.09536851180002154,0.9002763032913208,0.4538259669747799
13,0.9734913,0.08089810583652454,0.89628666639328,0.502338444808028
14,0.97610533,0.07197424673917378,0.9067684412002563,0.4786642364072873
15,0.97963405,0.06111741747481915,0.9032722115516663,0.5059341715867214
16,0.97812337,0.06547053379942283,0.9036672711372375,0.5486454189519296
17,0.9844471,0.04642527196941189,0.9090187549591064,0.5570856081238094
18,0.9852221,0.04541423761405486,0.9040642976760864,0.5708031230186535
19,0.9859187,0.04351997849284387,0.9082870483398438,0.6011745048747797
20,0.9875917,0.036855496645025604,0.90553218126297,0.6628527313881356
21,0.98958796,0.03220150302310828,0.9079391956329346,0.5974068516512229
22,0.9887854,0.0344453528404179,0.910161554813385,0.5757990186826971
23,0.9895881,0.03126089797806219,0.9087858200073242,0.6108624591029395
24,0.99102366,0.028111556040179276,0.9077851176261902,0.6560639158608073
25,0.9917513,0.026436160199874742,0.9076552987098694,0.6494524446569964
26,0.9914419,0.02631871021562209,0.9065268039703369,0.6868977122335218
27,0.9920982,0.02553539584796786,0.9076581001281738,0.7234622306689856
28,0.99237335,0.024288336578486634,0.9098228812217712,0.6730261772271635
29,0.9922689,0.024617692424939185,0.9087892770767212,0.621859069502397
30,0.9943912,0.01836420822347177,0.9119806289672852,0.6577864840030898
31,0.99317014,0.02197835530561794,0.9071047902107239,0.6889585722859657
32,0.993598,0.020117314088355574,0.9124132394790649,0.6879877299795532
33,0.9949866,0.01697014368512898,0.9061823487281799,0.6875161567443823
34,0.9931342,0.021641738521638882,0.9087927937507629,0.7427823300716958
35,0.99459577,0.016484623127878874,0.9073672294616699,0.7379972426766348
36,0.9941634,0.02024282029166322,0.9126306176185608,0.7373096663456732
37,0.9946044,0.01741121765810506,0.9034863114356995,0.7935067041154708
38,0.9952029,0.016566808063509533,0.9071179032325745,0.7666835139190373
39,0.99411523,0.01811468583997111,0.9061644077301025,0.8018584259159782
40,0.99420977,0.01889397629663928,0.9080274701118469,0.7382843139946107
41,0.99551564,0.015607688136054527,0.9085553884506226,0.6973667416799267
42,0.9962728,0.01276085100945296,0.9076312780380249,0.8348281397148383
